,Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,postive_count,negative_count,neutral_count,x_t,is_train,x_t_mean,pos_count_first,neg_count_first,neutral_count_first,positive_weight,negative_weight,neutral_weight,sentiment_major
0,2021-09-30,258.49334716796875,0.0,263.0433349609375,258.3333435058594,260.3333435058594,0.0,53868000,28,18,44,0,True,,,,,28,49.08139534883722,44,negative
1,2021-10-01,258.40667724609375,0.0,260.260009765625,254.52999877929688,259.4666748046875,0.0,51094200,36,11,47,0,True,,,,,36,29.994186046511633,47,neutral
2,2021-10-04,260.510009765625,0.0,268.989990234375,258.7066650390625,265.5,0.0,91449900,36,24,59,0,True,,,,,36,65.44186046511629,59,negative
3,2021-10-05,260.1966552734375,0.0,265.7699890136719,258.0666809082031,261.6000061035156,0.0,55297800,31,20,37,0,True,,,,,31,54.53488372093024,37,negative
4,2021-10-06,260.9166564941406,0.0,262.2200012207031,257.739990234375,258.73333740234375,0.0,43898400,26,14,38,1,True,0.2,,,,26,38.174418604651166,38,negative
5,2021-10-07,264.53668212890625,0.0,268.3333435058594,261.1266784667969,261.82000732421875,0.0,57587400,68,14,55,1,True,0.4,28.0,18.0,44.0,68,38.174418604651166,55,positive
6,2021-10-08,261.8299865722656,0.0,265.4599914550781,260.3033447265625,265.4033203125,0.0,50215800,42,21,27,0,True,0.4,36.0,11.0,47.0,42,57.261627906976756,27,negative
7,2021-10-11,263.9800109863281,0.0,267.0799865722656,261.8333435058594,262.54998779296875,0.0,42600900,37,15,43,1,True,0.6,36.0,24.0,59.0,37,40.90116279069768,43,neutral
8,2021-10-12,268.5733337402344,0.0,270.7733459472656,265.5233459472656,266.9766540527344,0.0,66060000,59,17,39,1,True,0.8,31.0,20.0,37.0,59,46.3546511627907,39,positive
9,2021-10-13,270.3599853515625,0.0,271.8033447265625,268.59332275390625,270.15667724609375,0.0,42360300,37,18,32,1,True,0.8,26.0,14.0,38.0,37,49.08139534883722,32,negative
10,2021-10-14,272.7733459472656,0.0,273.4166564941406,271.1166687011719,271.8299865722656,0.0,36741600,45,11,51,1,True,0.8,68.0,14.0,55.0,45,29.994186046511633,51,neutral
11,2021-10-15,281.010009765625,0.0,281.07000732421875,274.1166687011719,274.5799865722656,0.0,56773800,69,18,55,1,True,1.0,42.0,21.0,27.0,69,49.08139534883722,55,positive
12,2021-10-18,290.03668212890625,0.0,291.7533264160156,283.8233337402344,283.92999267578125,0.0,72621600,83,20,45,1,True,1.0,37.0,15.0,43.0,83,54.53488372093024,45,positive
13,2021-10-19,288.0899963378906,0.0,292.6499938964844,287.5033264160156,292.510009765625,0.0,52143300,38,19,55,0,True,0.8,59.0,17.0,39.0,38,51.80813953488373,55,neutral
